Entiteit,Gemeente,Deelgemeente,Titel,Station?,Ligging,XY Halte Hastus,GPS (locatie),Fietsbeugels (aantal),Overdekte fietsenstalling
Vlaams-Brabant,MEISE,WOLVERTEM,303793 Wolvertem Robbeek,,Veilinglaan,"50.97382,4.272932","4;50.9738177,4.2730201",Meer dan 5,Ja
Oost-Vlaanderen,MELLE,MELLE,203940 Melle Gemeenteplein,,Brusselsesteenweg,"51.003838,3.799747","4;51.0037414,3.7999091",Meer dan 5,Ja
Vlaams-Brabant,MERCHTEM,MERCHTEM,303872 Peizegem Tuinbouwschool,,Kouter,"50.979884,4.230051","5;50.9799865,4.2301944",Meer dan 5,Ja
Oost-Vlaanderen,MERELBEKE,MERELBEKE,201895 Merelbeke Carpool Park & Ride E40-E17,,Heidestraat,"51.003725,3.763791","4;51.0038352,3.7633459",Meer dan 5,Ja
Oost-Vlaanderen,MERELBEKE,MERELBEKE,203849 Merelbeke Lembergsesteenweg,,Lamstraat,"50.98934,3.762939","4;50.989416,3.763004",Meer dan 5,Ja
Oost-Vlaanderen,MERELBEKE,SCHELDERODE,203823 Schelderode Kerk,,Gaversesteenweg,"50.97083,3.71446","4;50.9708258,3.7146437",Meer dan 5,Ja
West-Vlaanderen,MEULEBEKE,MEULEBEKE,505663 Meulebeke Ter Deeve,,Bonestraat,"50.953348,3.293852","4;50.953538,3.293876",Meer dan 5,Ja
Oost-Vlaanderen,MOERBEKE-WAAS,MOERBEKE-WAAS,204089 Moerbeke-Waas Terwest,,Terweststraat,"51.172318,3.924744","3;51.1722452,3.9246206",Meer dan 5,Ja
Oost-Vlaanderen,MOERBEKE-WAAS,MOERBEKE-WAAS,205085 Moerbeke-Waas Korte Damstraat,,Hospicestraat-ter moere,"51.174706,3.946342","3;51.1746741,3.946242",Meer dan 5,Ja
West-Vlaanderen,MOORSLEDE,MOORSLEDE,508622 Moorslede Kerk,,MARKTSTRAAT,"50.891736,3.062156","10;50.8917357,3.0621248",Meer dan 5,Ja
Antwerpen,MORTSEL,MORTSEL,102395 Mortsel Vredebaan,,Antwerpsestraat,"51.173186,4.445093","4;51.1731313,4.4450139",Meer dan 5,Ja
Antwerpen,MORTSEL,MORTSEL,105905 Mortsel Vredebaan,,Antwerpsestraat,"51.172844,4.445061","4;51.1731277,4.444861",Meer dan 5,Ja
Antwerpen,MORTSEL,MORTSEL,107795 Mortsel Hof Savelkoul,,Liersesteenweg,"51.167874,4.477813","4;51.1680955,4.4776344",Meer dan 5,Ja
Oost-Vlaanderen,NAZARETH,EKE,209724 Eke Dorp,,Stationsstraat,"50.956668,3.642333","4;50.9565838,3.6423744",Meer dan 5,Ja
Oost-Vlaanderen,NAZARETH,NAZARETH,208731 Nazareth Dorp,,Dorp,"50.95974,3.597237","16;50.959658,3.5973329",Meer dan 5,Ja
Oost-Vlaanderen,NAZARETH,NAZARETH,209731 Nazareth Dorp,,Dorp,"50.959594,3.596202","4;50.9597223,3.5964546",Meer dan 5,Ja
Limburg,NEERPELT,GROTE HEIDE,406916 Neerpelt Grote Heide Kerk,,Grote heide,"51.246804,5.43911","5;51.24686076,5.4389376",Meer dan 5,Ja
Limburg,NEERPELT,SINT-HUIBRECHTS-LILLE,406957 Sint-Huibrechts-Lille Centrum,,Jos verlindenstraat,"51.227316,5.481535","5;51.22753444,5.48144763",Meer dan 5,Ja
Oost-Vlaanderen,NEVELE,NEVELE,202786 Nevele Stelplaats,,Graaf van hoornestraat,"51.032682,3.544116","4;51.0326165,3.5439469",Meer dan 5,Ja
Oost-Vlaanderen,NEVELE,NEVELE,203785 Nevele Markt,,Cyriel buyssestraat,"51.032733,3.549081","4;51.0329697,3.5492874",Meer dan 5,Ja
Oost-Vlaanderen,NEVELE,POESELE,202789 Poesele Beentjesstraat,,Bredeweg,"51.037893,3.516245","4;51.037858,3.5162192",Meer dan 5,Ja
Antwerpen,NIEL (ANTWERPEN),NIEL (ANTWERPEN),102013 Niel Maria Boodschap,,Wirixdreef,"51.108789,4.321369","4;51.108836,4.3213688",Meer dan 5,Ja
Antwerpen,NIEL (ANTWERPEN),NIEL (ANTWERPEN),105989 Niel Stationsstraat,,Antwerpsestraat,"51.112272,4.331578","4;51.1123043,4.3315374",Meer dan 5,Ja
Antwerpen,NIJLEN,BEVEL,107077 Bevel Kerk,,Bevel-dorp,"51.136663,4.683303","4;51.1367232,4.6831103",Meer dan 5,Ja
Oost-Vlaanderen,NINOVE,MEERBEKE,207981 Meerbeke Stelplaats,,Brusselsesteenweg,"50.828867,4.037028","8;50.8289545,4.037361",Meer dan 5,Ja
West-Vlaanderen,OOSTENDE,OOSTENDE,506302 Oostende Az Damiaan-Gouwelozestraat,,Gouwelozestraat,"51.218084,2.93306","5;51.2181162,2.9330356",Meer dan 5,Ja
West-Vlaanderen,OOSTENDE,ZANDVOORDE (OOSTENDE),506502 Zandvoorde Kapittelstraat,,GISTELSESTEENWEG,"51.192279,2.961148","4;51.192364,2.9610264",Meer dan 5,Ja
Antwerpen,OUD-TURNHOUT,OUD-TURNHOUT,107141 Oud-Turnhout Molenbergen,,Steenweg op mol,"51.314957,4.987859","4;51.3149877,4.9878321",Meer dan 5,Ja
West-Vlaanderen,OUDENBURG,WESTKERKE,506482 Westkerke Kerk,,Gistelsesteenweg,"51.164508,3.015007","3;51.16455949,3.01497208",Meer dan 5,Ja
Limburg,OVERPELT,LINDEL,407343 Lindel Kerk,,Lindelsebaan,"51.193945,5.40296","5;51.1938074,5.4029688",Meer dan 5,Ja
Limburg,PEER,KLEINE-BROGEL,409861 Kleine-Brogel Dommellaan,,Dommellaan,"51.176524,5.451785","4;51.1764867,5.4517809",Meer dan 5,Ja
Antwerpen,PUTTE (BIJ MECHELEN),BEERZEL,108102 Beerzel Kerk,,Beerzelplein,"51.0575,4.671207","4;51.0575094,4.6711594",Meer dan 5,Ja
Antwerpen,PUTTE (BIJ MECHELEN),PUTTE (BIJ MECHELEN),108091 Putte Markt,,Waversesteenweg,"51.059136,4.62818","4;51.0592089,4.6281393",Meer dan 5,Ja
Antwerpen,RANST,BROECHEM,106422 Broechem Van Den Nestlaan,,Antwerpsesteenweg,"51.182503,4.593095","10;51.1827781,4.5924952",Meer dan 5,Ja
Antwerpen,RANST,BROECHEM,106423 Broechem Van Den Nestlaan,,Antwerpsesteenweg,"51.182504,4.593132","10;51.1828089,4.5926504",Meer dan 5,Ja
Antwerpen,RANST,RANST,106416 Ranst Lieve Vrouwestraat,,Doggenhoutstraat,"51.188109,4.562673","10;51.1881338,4.5626825",Meer dan 5,Ja
Antwerpen,RAVELS,WEELDE,106642 Weelde Gemeentehuis,,Gemeentelaan,"51.410868,5.005586","4;51.4107037,5.0058287",Meer dan 5,Ja
Antwerpen,RETIE,RETIE,107574 Retie Markt,,MARKT,"51.267134,5.084539","3;51.2670519,5.0845081",Meer dan 5,Ja
Limburg,RIEMST,RIEMST,407651 Riemst Busstation perron 1,,Gemeenteplein,"50.81187,5.596293","4;50.8118386,5.5963092",Meer dan 5,Ja
Limburg,RIEMST,RIEMST,407652 Riemst Busstation perron 2,,Gemeenteplein,"50.811909,5.596234","4;50.8119698,5.596482",Meer dan 5,Ja
