id,address_id,parking_type_name,latitude,longitude,box_number,status,created_at,updated_at,is_all_access,wow_id,name,legacy_address,installation_date,capacity_classic,capacity_cargo,limit_sub_number,code,active,mobib,is_group
203,,Box,50.87092,4.33351,,,2019-02-05T11:01:56Z,,false,,Corneille II,"Rue Corneille De Clercq 110, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT24,true,false,false
204,,Box,50.88522,4.3352,,,2019-02-05T11:01:57Z,,false,,Peret II,"Rue Léopold Peret 7, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT23,true,false,false
206,,Box,50.88048,4.31649,,,2019-02-05T11:01:57Z,,false,,Baeck,"Rue Baeck 143, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT21,true,false,false
207,,Box,50.87354,4.33823,,,2019-02-05T11:01:57Z,,false,,ND Lourdes,"Av. Notre Dame de Lourdes 67, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT20,true,false,false
208,,Box,50.86921,4.33265,,,2019-02-05T11:01:57Z,,false,,Longtin,"Rue Honoré Longtin 117, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT19,true,false,false
209,,Box,50.87847,4.33562,,,2019-02-05T11:01:57Z,,false,,Loossens,"Rue Joseph Loossens 46, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT18,true,false,false
210,,Box,50.86938,4.32805,,,2019-02-05T11:01:57Z,,false,,Amnesty,"avenue Odon Warland 2, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT17,true,false,false
211,,Box,50.87183,4.33668,,,2019-02-05T11:01:58Z,,false,,Odon Warland,"Rue Bérré 51, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT16,true,false,false
212,,Box,50.8789,4.33245,,,2019-02-05T11:01:58Z,,false,,Démineurs,"avenues des démineurs 31, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT15,true,false,false
213,,Box,50.88253,4.32398,,,2019-02-05T11:01:58Z,,false,,Broekaert,"Rue Valère Broekaert 83, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT14,true,false,false
214,,Box,50.87796,4.32397,,,2019-02-05T11:01:58Z,,false,,Werrie,"Rue Vandenschrieck 121, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT13,true,false,false
215,,Box,50.87867,4.32602,,,2019-02-05T11:01:58Z,,false,,Vandenschrieck,"Rue Vandenschrieck 59, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT12,true,false,false
216,,Box,50.87047,4.33304,,,2019-02-05T11:01:58Z,,false,,Corneille I,"avenue Odon Warland 103, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT11,true,false,false
217,,Box,50.87094,4.32305,,,2019-02-05T11:01:58Z,,false,,Laeken,"avenue de Laeken 47, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT10,true,false,false
218,,Box,50.87636,4.33256,,,2019-02-05T11:01:58Z,,false,,Equité-Héroïsme,"Rue de l'Equité 4, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT09,true,false,false
219,,Box,50.87746,4.33607,,,2019-02-05T11:01:59Z,,false,,Dansette Résistance,"Rue Dansette 30, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT08,true,false,false
220,,Box,50.87896,4.32731,,,2019-02-05T11:01:59Z,,false,,Van Bortonne,"Rue Van Bortonne 26, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT07,true,false,false
222,,Box,50.87526,4.33778,,,2019-02-05T11:01:59Z,,false,,Grotte,"Place de la Grotte 9, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT05,true,false,false
223,,Box,50.87308,4.32892,,,2019-02-05T11:01:59Z,,false,,Faes,"Rue Edouard Faes 10, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT04,true,false,false
224,,Box,50.88676,4.32134,,,2019-02-05T11:01:59Z,,false,,Capart,"avenue Capart 51, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT03,true,false,false
225,,Box,50.87465,4.32416,,,2019-02-05T11:01:59Z,,false,,Wallons,"Rue de Wallons 35, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT02,true,false,false
226,,Box,50.87493,4.32371,,,2019-02-05T11:02:00Z,,false,,Flamands,"Rue des Flamands 39, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT01,true,false,false
227,,Box,50.89252,4.41762,,,2019-02-05T11:02:00Z,,false,,Cortenbach,"Rue Sainte-Elisabeth x Rue de Cortenbach, 1130 Haren",1970-01-01T00:00:00Z,5,0,,HA37,true,false,false
228,,Box,50.875838,4.317659,,,2019-02-05T11:02:00Z,,false,,Centenaire,"Sq. du Centenaire x Av. de la Réforme, 1083 Ganshoren",2018-01-12T00:00:00Z,5,0,,GA14,true,false,false
229,,Box,50.877272,4.314479,,,2019-02-05T11:02:00Z,,false,,Beethoven,"Av. Beethoven x Av. Verdi, 1083 Ganshoren",2018-01-09T00:00:00Z,5,0,,GA13,true,false,false
230,,Box,50.871007,4.314616,,,2019-02-05T11:02:00Z,,false,,Urbanisme,"Av. Van Overbeke x Rue de l'Urbanisme, 1083 Ganshoren",2018-01-11T00:00:00Z,5,0,,GA12,true,false,false
231,,Box,50.869302,4.313993,,,2019-02-05T11:02:00Z,,false,,Sippelberg,"Clos du Sippelberg 8, 1083 Ganshoren",2018-01-12T00:00:00Z,5,0,,GA11,true,false,false
